Private,Apps,Accept,Enroll,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,Elite
Yes,2464,1908,678,2693,691,10970,4280,500,1380,47,51,13.3,18,7711,65,No
Yes,1110,930,332,1603,374,8180,4270,500,500,65,58,15.2,12,5664,29,No
Yes,668,534,237,1306,258,9476,4820,500,1100,67,67,20.1,26,6786,74,No
Yes,809,726,294,1271,43,12500,4130,400,1050,53,53,13.5,22,7136,52,No
No,5653,4326,1727,9528,3822,10800,4840,580,1050,93,96,19.3,7,6751,46,No
Yes,7875,5062,1492,5471,1470,17450,6328,700,950,92,93,7.6,15,14745,72,No
Yes,727,693,286,1063,48,8100,3950,550,550,73,76,13.3,28,7508,55,No
Yes,11115,2881,1390,5881,406,18300,7131,670,1700,91,92,7.2,27,19635,95,Yes
No,7837,4527,2276,8528,654,6489,4438,795,1164,92,92,19.3,33,11271,70,Yes
No,3793,2341,1238,7732,9054,6744,2655,720,3450,87,89,19,10,7762,34,No
Yes,348,281,127,1095,785,9150,3950,500,800,56,59,12.2,27,7348,76,No
Yes,3596,2466,575,1944,46,19964,4328,500,500,94,95,12.1,32,14720,83,No
Yes,633,468,284,823,963,6120,2985,531,1830,25,25,27.6,4,6081,36,No
Yes,1886,1524,526,2523,296,13000,4450,600,2400,78,90,14.7,32,9553,69,No
Yes,674,565,282,1151,39,12200,4070,400,1200,73,82,14.2,32,9226,66,No
Yes,440,396,221,910,166,9420,3730,600,1230,51,56,9.9,46,10270,72,No
Yes,1151,813,248,850,80,15588,6174,500,1200,78,90,9.2,34,16623,77,No
Yes,548,428,167,618,113,8958,3670,300,1000,53,59,15.3,26,9798,64,No
Yes,555,414,242,996,2281,9100,3100,550,880,51,61,23.6,24,5609,47,No
No,5165,3887,1561,8234,2619,6108,3800,500,1000,64,66,20.6,9,5063,57,No
Yes,780,628,198,545,42,11750,2700,400,850,77,83,14,24,6475,76,No
Yes,608,494,176,649,314,8330,3770,550,1300,64,80,13,31,7949,39,No
Yes,510,387,194,771,53,10310,4530,400,800,57,61,14.3,16,8222,60,No
Yes,2039,1389,432,1333,30,15688,4618,400,400,88,92,9.5,54,18979,83,Yes
Yes,2491,1110,573,2213,35,5224,3048,525,350,65,65,18.4,18,4957,100,Yes
Yes,1202,1054,326,1410,299,13404,5160,450,1050,78,86,15.6,30,9114,65,No
Yes,1709,1385,634,2281,50,14125,3600,400,700,79,89,12.5,58,9907,80,No
Yes,380,237,104,716,1108,11000,5550,500,500,36,41,7.8,22,7483,96,No
Yes,3140,1783,454,1646,24,19700,5050,300,800,91,96,9.6,60,17761,91,No
Yes,1006,825,328,1362,102,13252,4194,450,550,89,93,13,33,10296,65,No
Yes,817,644,307,945,1,13218,4773,660,600,95,97,13.3,53,12263,69,No
Yes,7178,3755,1433,4623,740,7161,3518,600,2000,60,64,14,9,6791,70,No
Yes,1006,837,317,1024,15,8200,3485,500,1200,84,84,10.6,26,9248,64,No
Yes,467,424,350,1365,334,6300,2980,700,2140,75,79,13.7,10,7054,38,No
Yes,1721,1068,806,3128,213,5504,3528,700,910,71,77,17.7,37,6466,73,No
Yes,2083,1725,430,1464,67,17480,4780,500,700,75,87,12.3,32,11625,73,No
Yes,13865,2165,1606,6862,320,18485,6410,500,1920,97,97,9.9,52,37219,100,Yes
Yes,1377,572,178,654,5,17230,6690,700,900,100,100,8.2,46,21569,100,Yes
Yes,817,708,262,935,37,9376,3272,500,1902,57,63,13,17,7335,52,No
Yes,823,721,274,954,6,8800,3195,500,1200,82,99,13.1,26,8588,63,Yes
Yes,920,745,347,1133,42,11090,4700,400,750,80,80,12,31,12639,79,No
Yes,922,729,244,1000,275,14067,4560,400,1000,75,95,10.6,34,12165,79,No
Yes,2688,2081,500,1792,5,19029,5841,600,600,99,99,12.1,37,13040,79,No
Yes,7428,5860,1349,6534,1350,11600,5920,1000,1000,81,90,13.9,10,10093,60,No
Yes,602,498,215,795,74,13470,5515,500,850,78,91,11.1,48,13957,72,No
Yes,699,565,176,710,399,13960,6040,450,690,82,88,14.4,34,12434,72,No
Yes,1712,1483,624,2505,208,12275,4341,465,1100,72,81,12.5,40,9284,72,No
Yes,949,786,302,1210,26,9990,3550,500,1500,85,90,15,24,8187,67,No
Yes,608,520,127,538,126,8080,3920,500,1100,63,72,11.4,9,7703,44,No
Yes,450,430,125,488,43,9950,3920,300,1300,76,76,11.8,25,9466,47,No
Yes,600,197,124,392,69,7260,3090,600,1840,31,35,12.9,4,9249,21,No
Yes,723,652,361,951,706,7800,4000,350,1500,36,44,22,4,4923,84,No
Yes,607,558,269,1222,519,10500,4348,650,1500,81,91,11.6,29,8324,75,No
Yes,894,787,262,909,28,8050,3850,600,1000,75,75,15.6,30,7348,52,No
Yes,1756,1360,478,1911,626,14550,4620,500,700,80,88,12.3,26,12851,56,No
No,8681,6695,2408,15701,1823,7799,3403,537,2605,77,84,21,16,5569,54,No
Yes,3050,1342,471,1818,23,14360,4090,400,650,77,92,12.9,34,9605,83,Yes
Yes,268,253,103,494,1305,10000,5364,500,1000,56,64,11.2,33,7305,69,No
Yes,1163,927,386,1685,556,8840,4689,750,2775,67,69,11.4,21,6095,95,No
No,5659,4761,3147,8596,1949,6892,3706,600,2500,72,76,16.6,8,6996,40,No
No,16587,13243,5873,24763,2717,9766,3990,600,2000,77,88,21.3,24,8686,68,No
Yes,735,423,366,2448,707,9210,3782,700,1000,49,51,39.8,15,6562,34,No
Yes,4892,3530,913,3906,1446,10690,6790,570,1150,66,83,16,14,8107,66,No
No,8427,7424,3441,18676,1715,7550,3224,640,2055,81,88,19.2,22,8420,65,No
Yes,7259,5526,1368,5612,166,14424,6192,634,1000,58,79,11.5,25,9812,75,No
No,11223,5285,2082,9652,742,7994,4544,500,732,77,81,17.9,29,5212,98,No
Yes,472,410,262,9950,71,7620,3050,400,400,51,53,17,21,3186,54,No
No,2957,1423,691,3817,1394,3946,4800,400,1500,63,67,14.9,10,8367,26,No
Yes,605,405,284,961,99,6398,3672,400,1350,68,68,13.3,19,8118,75,No
Yes,2421,2109,820,3168,392,11700,5550,600,450,89,90,14.5,28,7738,89,No
Yes,8474,3446,911,3566,1569,18800,6740,500,1040,96,97,3.3,38,56233,90,Yes
No,833,669,279,1224,345,7656,4690,500,624,80,91,14.4,15,6564,36,No
Yes,313,228,137,552,67,9414,4554,500,1700,34,55,10.6,30,7840,56,No
Yes,1005,859,298,1075,43,14850,4460,450,420,97,97,12.7,37,12067,80,No
No,5880,4075,2833,14914,2246,6995,3120,600,2000,76,86,18.5,22,6122,54,No
Yes,589,575,148,474,258,8400,3250,500,1400,63,55,12.4,14,6535,68,No
No,3121,2446,822,3480,776,7870,4157,500,1150,73,73,16.1,13,6195,61,No
Yes,584,497,175,662,121,8000,4150,500,1300,57,65,11.3,32,7058,62,No
Yes,2212,1538,408,1445,1,19240,3690,750,480,95,95,11.1,46,14067,88,No
Yes,461,381,174,738,55,9600,4550,600,750,55,94,13.3,43,7863,51,No
Yes,1456,1053,381,500,541,10910,5160,400,1795,66,72,15.6,37,7649,87,No
Yes,355,300,142,509,44,8664,3350,600,3000,65,68,10.7,25,8954,65,No
Yes,1040,845,286,967,24,15747,4062,400,800,88,95,12.7,33,13224,79,No
Yes,361,321,185,650,819,8842,4782,600,1100,57,73,14.2,14,7022,52,No
Yes,2929,1834,622,2738,1662,12600,5610,450,3160,90,90,15.1,9,9084,84,No
Yes,4010,2402,572,2018,226,18730,5740,600,1000,93,96,10.5,38,15365,92,No
Yes,544,399,177,600,363,6987,3585,750,1500,77,83,12.5,12,9067,75,No
Yes,979,638,271,968,20,16880,3970,920,1320,91,94,10.7,19,15687,77,No
Yes,497,452,231,887,1957,9400,4005,500,1000,49,65,17.2,25,4054,57,No
No,2336,1725,1043,5438,4058,4752,3040,508,1463,48,82,18.4,12,5879,26,No
Yes,831,538,224,840,325,5170,3430,600,1590,61,61,16.1,10,5531,60,No
No,1166,1009,510,2074,341,4938,2987,528,1702,67,77,17,11,6119,51,No
Yes,1243,947,324,1129,74,17163,3891,525,975,76,92,10.1,57,13965,77,No
Yes,1470,1199,425,1820,558,11040,4840,400,900,89,92,13.3,28,8118,94,No
Yes,1386,1060,320,965,502,13850,4755,400,1125,84,84,12.3,30,8196,85,No
Yes,6397,4304,1092,4298,132,18700,5580,750,1130,96,99,12.5,43,14665,91,No
Yes,979,743,259,1188,166,10100,4000,400,1000,88,92,12,20,8539,66,No
Yes,244,198,82,1134,336,11700,5300,550,805,71,88,27.8,18,8694,58,No
Yes,477,417,204,1532,77,8840,4240,600,1400,58,70,20.8,23,6863,56,No
Yes,2774,2092,482,1763,59,15800,4790,450,950,97,98,12.3,21,12999,69,No
Yes,1154,1050,395,2192,1423,10560,4520,500,1200,36,48,14.3,10,7701,61,No
Yes,787,562,363,925,605,5950,2890,600,1300,67,72,14.6,35,5177,53,No
No,1660,1091,326,1196,33,4818,3400,350,1400,71,72,12.6,8,10912,45,No
Yes,810,484,356,2155,191,9200,4800,1000,4200,65,85,24.1,9,3480,100,No
Yes,1561,1188,458,1548,840,13380,4210,500,900,89,91,17.8,34,8747,81,No
